"","Serial","Time","Username","Observer","Tree.ID","Date","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","LeafColor","LeafDropping","Fruit","LeafBud","LeafUnfurled","Flowering","Damage","Comments","UniqueID","LongLat"
"1110",1110,"09/23/2016 - 10:47am",NA,NA,NA,2016-09-23,267,"Fall","Sugar Maple",44.82259,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",25,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None",NA,"NA_NA__Sugar Maple_44.82259_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_25",NA
"1111",1111,"09/23/2016 - 12:56pm",NA,NA,NA,2016-09-23,267,"Fall","Sugar Maple",44.822885,-74.51625,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",1,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"-119.339135_NA__Sugar Maple_44.822885_-74.51625_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_1",-119.339135
"1112",1112,"11/04/2016 - 9:10am",NA,NA,"207",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",26,"Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"fungi, wood chipped",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_26",-119.762084
"1113",1113,"11/04/2016 - 1:20pm",NA,NA,"261",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_14",-119.762084
"1114",1114,"11/04/2016 - 12:11pm",NA,NA,"261",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",16,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"insects on leaves",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_16",-119.762084
"1115",1115,"11/04/2016 - 8:21am",NA,NA,"261",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",16,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_16",-119.762084
"1116",1116,"11/04/2016 - 9:10am",NA,NA,"261",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",41,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"fungi",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_41",-119.762084
"1117",1117,"11/04/2016 - 12:08pm",NA,NA,"262",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",13,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"dead leaves",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_13",-119.762084
"1118",1118,"11/04/2016 - 9:10am",NA,NA,"262",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",12,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"fungus",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_12",-119.762084
"1119",1119,"11/22/2016 - 9:07am",NA,NA,"262",2016-11-22,327,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",12,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_12",-119.762084
"1120",1120,"11/04/2016 - 1:20pm",NA,NA,"263",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",54,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"fungas and dead limes","our is tree is healthy and named Maple","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_54",-119.762084
"1121",1121,"11/04/2016 - 12:08pm",NA,NA,"263",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"lichen,guls","Our tree name is THE G.O.A.T","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1122",1122,"11/04/2016 - 8:21am",NA,NA,"263",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Tree branches broken and split",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1123",1123,"11/04/2016 - 9:10am",NA,NA,"263",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none to be found","Our tree is named Big Willy","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1124",1124,"11/04/2016 - 1:20pm",NA,NA,"264",2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",15,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,"no missing bark or unhealthy or unhealthy branches.","-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_15",-119.762084
"1125",1125,"11/04/2016 - 12:08pm",NA,NA,"264",2016-11-04,309,"Fall","Norway Maple",44.774797,-55.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"a small bit of fungus a piece of bark is missing","The trees name is Rock","-100.762084_NA__Norway Maple_44.774797_-55.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_14",-100.762084
"1126",1126,"11/04/2016 - 12:12pm",NA,NA,"264",2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"A small bit of Fungus and bark is missing.","Our tree is the coolest.","-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_14",-119.762084
"1127",1127,"11/04/2016 - 9:10am",NA,NA,"264",2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none at this time",NA,"-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_14",-119.762084
"1128",1128,"11/04/2016 - 12:08pm",NA,NA,"265",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",25,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"missing bark moss","#NAME?","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_25",-119.762084
"1129",1129,"11/04/2016 - 8:21am",NA,NA,"265",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"limb loss",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1130",1130,"11/22/2016 - 12:06pm",NA,NA,"265",2016-11-22,327,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",25,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_25",-119.762084
"1131",1131,"11/04/2016 - 9:10am",NA,NA,"266",2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"moss",NA,"-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1132",1132,"11/04/2016 - 8:21am",NA,NA,"266",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",32,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,"Right by another smaller maple.","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_32",-119.762084
"1133",1133,"11/04/2016 - 12:08pm",NA,NA,"267",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",28,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"bark missing from one side of the tree","name: Little Jimmy","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_28",-119.762084
"1134",1134,"11/04/2016 - 8:21am",NA,NA,"267",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",29,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_29",-119.762084
"1135",1135,"11/04/2016 - 9:11am",NA,NA,"267",2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",27,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Bark is damaged and missing a few branches.","name is Beane winston","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_27",-119.762084
"1136",1136,"11/04/2016 - 1:20pm",NA,NA,"268",2016-11-04,309,"Fall","Norway Maple",44.774797,-75.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"no damages or diseases","The trees name is Fred.","-120.762084_NA__Norway Maple_44.774797_-75.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_14",-120.762084
"1137",1137,"11/04/2016 - 8:23am",NA,NA,"268",2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",26,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"mold and no visible disease

",NA,"-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_26",-119.762084
"1138",1138,"09/23/2016 - 9:19am",NA,NA,"270",2016-09-23,267,"Fall","Silver Maple",44.774854,-74.987542,"Yes","School lawn","Open (more than 5hr per day of direct sun)",26,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.762396_NA__Silver Maple_44.774854_-74.987542_Yes_School lawn_Open (more than 5hr per day of direct sun)_26",-119.762396
"1139",1139,"11/04/2016 - 8:22am",NA,NA,NA,2016-11-04,309,"Fall","Norway Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",8,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"broken branch and barch torn off","Our tree's name is Randall Garfankel Senior.","-119.762084_NA__Norway Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_8",-119.762084
"1140",1140,"11/04/2016 - 8:21am",NA,NA,NA,2016-11-04,309,"Fall","Silver Maple",44.774797,-74.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",34,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,"Its name is Dillbert","-119.762084_NA__Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_34",-119.762084
"1141",1141,"11/04/2016 - 9:10am",NA,NA,NA,2016-11-04,309,"Fall","Silver Maple",44.774797,-79.987287,"Yes","School lawn","Open (more than 5hr per day of direct sun)",55,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"fungi bark is peeled off","None","-124.762084_NA__Silver Maple_44.774797_-79.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_55",-124.762084
"1142",1142,"09/26/2016 - 9:27am",NA,NA,"12",2016-09-26,270,"Fall","Sugar Maple",44.611477,-75.169512,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",24,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"-119.780989_NA__Sugar Maple_44.611477_-75.169512_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",-119.780989
"1143",1143,"09/26/2016 - 9:29am",NA,NA,"14",2016-09-26,270,"Fall","Sugar Maple",44.611452,-75.169535,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",59,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"We do not notice any damage to the tree.",NA,"-119.780987_NA__Sugar Maple_44.611452_-75.169535_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_59",-119.780987
"1144",1144,"09/26/2016 - 9:27am",NA,NA,"17",2016-09-26,270,"Fall","Sugar Maple",44.611465,-75.169554,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",23,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"nope",NA,"-119.781019_NA__Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_23",-119.781019
"1145",1145,"10/11/2016 - 8:48am",NA,NA,"78",2016-10-11,285,"Fall","Sugar Maple",44.7,-74.5,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",54,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"Maple moth cutter put holes in the leaves",NA,"-119.2_NA__Sugar Maple_44.7_-74.5_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_54",-119.2
"1146",1146,"10/11/2016 - 8:37am",NA,NA,"76",2016-10-11,285,"Fall","Sugar Maple",44.679477,-74.54555,"Yes","School lawn","Open (more than 5hr per day of direct sun)",22,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"mapple leaf cuutter moth",NA,"-119.225027_NA__Sugar Maple_44.679477_-74.54555_Yes_School lawn_Open (more than 5hr per day of direct sun)_22",-119.225027
"1147",1147,"11/01/2016 - 9:17am",NA,NA,"77",2016-11-01,306,"Fall","Sugar Maple",44.67984,-74.545544,"No","School lawn","Open (more than 5hr per day of direct sun)",13,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Two frost cracks/ holes in the leaves",NA,"-119.225384_NA__Sugar Maple_44.67984_-74.545544_No_School lawn_Open (more than 5hr per day of direct sun)_13",-119.225384
"1148",1148,"01/19/2017 - 1:45pm",NA,NA,"254",2017-01-19,19,"Fall","Sugar Maple",44.3614,-75.2069,"Yes","School lawn","Open (more than 5hr per day of direct sun)",55,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None","surrounded by weak trees .","-119.5683_NA__Sugar Maple_44.3614_-75.2069_Yes_School lawn_Open (more than 5hr per day of direct sun)_55",-119.5683
"1149",1149,"09/29/2016 - 11:07am",NA,NA,NA,2016-09-29,273,"Fall","Silver Maple",NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"1 limb about cut in half","Its not very big and her name is Goerge of the forest she is 32 and single","NA_NA__Silver Maple_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"1150",1150,"01/19/2017 - 1:45pm",NA,NA,"252",2017-01-19,19,"Fall","Sugar Maple",44.36269,-75.203391,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",16,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.566081_NA__Sugar Maple_44.36269_-75.203391_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_16",-119.566081
"1151",1151,"01/19/2017 - 1:45pm",NA,NA,"253",2017-01-19,19,"Fall","Sugar Maple",44.363453,-75.203058,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",4,"Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"Still rotting.",NA,"-119.566511_NA__Sugar Maple_44.363453_-75.203058_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_4",-119.566511
"1152",1152,"01/19/2017 - 1:48pm",NA,NA,"251",2017-01-19,19,"Fall","Sugar Maple",44.362694,-75.203534,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",19,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"damaged leaves",NA,"-119.566228_NA__Sugar Maple_44.362694_-75.203534_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_19",-119.566228
"1153",1153,"01/19/2017 - 1:57pm",NA,NA,"255",2017-01-19,19,"Fall","Sugar Maple",44.362627,-75.203523,"Yes","School paved area","Shaded (less than 2hr per day of direct sun)",14,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"The leaves are brown coloration.","We named our tree Leavi Rellows because it had leaves and we put our lasts names together.","-119.56615_NA__Sugar Maple_44.362627_-75.203523_Yes_School paved area_Shaded (less than 2hr per day of direct sun)_14",-119.56615
"1154",1154,"02/01/2017 - 1:03pm",NA,NA,"245",2017-02-01,32,"Fall","Sugar Maple",44.360568,-75.201484,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",16,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none","We named our tree Teresa.","-119.562052_NA__Sugar Maple_44.360568_-75.201484_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_16",-119.562052
"1155",1155,"02/01/2017 - 2:44pm",NA,NA,"349",2017-02-01,32,"Fall","Sugar Maple",44.361288,-75.202854,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",8,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none","ARE TREE IS MARGETT TREELONG","-119.564142_NA__Sugar Maple_44.361288_-75.202854_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_8",-119.564142
"1156",1156,"09/29/2016 - 11:07am",NA,NA,NA,2016-09-29,273,"Fall","Sugar Maple",44.62398,-75.407069,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",10,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,"the trees name is cuttypie","-120.031049_NA__Sugar Maple_44.62398_-75.407069_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_10",-120.031049
"1157",1157,"02/01/2017 - 1:05pm",NA,NA,"243",2017-02-01,32,"Fall","Sugar Maple",44.361642,-75.200735,"No","School lawn","Open (more than 5hr per day of direct sun)",11,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"No","5 tap holes, the name of our tree is King Syrup","-119.562377_NA__Sugar Maple_44.361642_-75.200735_No_School lawn_Open (more than 5hr per day of direct sun)_11",-119.562377
"1158",1158,"02/01/2017 - 1:12pm",NA,NA,"241",2017-02-01,32,"Fall","Sugar Maple",44.361365,-75.200554,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",47,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"-119.561919_NA__Sugar Maple_44.361365_-75.200554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_47",-119.561919
"1159",1159,"02/01/2017 - 1:04pm",NA,NA,"242",2017-02-01,32,"Fall","Sugar Maple",44.3,-75.2,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",33,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"No diesease","we name are tree gummy.","-119.5_NA__Sugar Maple_44.3_-75.2_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_33",-119.5
"1160",1160,"09/29/2016 - 11:07am",NA,NA,NA,2016-09-29,273,"Fall","Red Maple",NA,NA,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",8,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,"Bailey is her name","NA_NA__Red Maple_NA_NA_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_8",NA
"1161",1161,"02/01/2017 - 2:44pm",NA,NA,"246",2017-02-01,32,"Fall","Sugar Maple",44.2142,-75.1211,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",4,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"partially dead","Bailey is her name","-119.3353_NA__Sugar Maple_44.2142_-75.1211_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_4",-119.3353
"1162",1162,"02/01/2017 - 2:43pm",NA,NA,"247",2017-02-01,32,"Fall","Sugar Maple",44.362036,-75.204409,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",16,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"catipillars","named the tree branches","-119.566445_NA__Sugar Maple_44.362036_-75.204409_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_16",-119.566445
"1163",1163,"02/01/2017 - 2:39pm",NA,NA,"250",2017-02-01,32,"Fall","Sugar Maple",44.36131,-75.202924,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",8,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Heathy","named the tree branches","-119.564234_NA__Sugar Maple_44.36131_-75.202924_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_8",-119.564234
