Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
,09/29/2013 - 12:11pm,,,,9/29/13,9/29/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,09/30/2015 - 1:09pm,,,,9/30/15,9/30/15,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,09/30/2015 - 1:10pm,,,,9/30/15,9/30/15,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),43,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,09/30/2016 - 11:34am,,,31,9/30/16,9/30/16,,Fall,Sugar Maple,44.605323,-75.167859,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Frost Crack,
,10/02/2015 - 8:39am,,,6,10/2/15,10/2/15,,Fall,Sugar Maple,44.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),42,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,11/01/2016 - 2:25pm,,,43,11/1/16,11/1/16,,Fall,Sugar Maple,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),46,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No damages,
,10/02/2015 - 8:36am,,,,10/2/15,10/2/15,,Fall,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Branches are missing,
,09/30/2015 - 1:09pm,,,66,9/30/15,9/30/15,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),0,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 12:50pm,,,,10/2/15,10/2/15,,Fall,Sugar Maple,44.611434,-75.169532,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),39,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 10:57am,,,21,10/2/15,10/2/15,,Fall,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 2:33pm,,,,10/2/15,10/2/15,,Fall,Sugar Maple,44.372685,-75.242565,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),7,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,slightly eaten leaves,
,10/02/2015 - 2:15pm,,,45,10/2/15,10/2/15,,Fall,Silver Maple,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),80,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,black splotches ,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,vey big
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,None
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,still smooth and young
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Fungus on leaves,Jimmy Jr 2
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,hello 
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,Fungus on leaves,This tree is very old and huge.
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,One of the last trees in the area to begin to turn
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,46,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),119,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:17pm,,,47,10/2/15,10/2/15,,Fall,Silver Maple,44.606295,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),4,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Early:  Only a few ripe fruits are visible (less than 10%),,,,,
,10/02/2015 - 2:14pm,,,49,10/2/15,10/2/15,,Fall,Norway Maple,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),70,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,black fungi on leaves,
,10/02/2015 - 2:15pm,,,51,10/2/15,10/2/15,,Fall,Sugar Maple,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),71,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,fungus and broken branches and black spots,
,10/02/2015 - 2:15pm,,,52,10/2/15,10/2/15,,Fall,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),75,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungus on leaves,
,10/02/2015 - 2:15pm,,,55,10/2/15,10/2/15,,Fall,Red Maple,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),104,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 2:18pm,,,56,10/2/15,10/2/15,,Fall,Sugar Maple,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),93,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,fungi on the leaves,
,10/02/2015 - 11:03am,,,,10/2/15,10/2/15,,Fall,Silver Maple,44.371829,-75.243672,Yes,School lawn,Open (more than 5hr per day of direct sun),17,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"healthy, scratched",
,10/02/2015 - 1:03pm,,,,10/2/15,10/2/15,,Fall,Silver Maple,44.371619,-75.243402,Yes,School paved area,Open (more than 5hr per day of direct sun),16,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Damaged trunk,
,10/02/2015 - 2:35pm,,,,10/2/15,10/2/15,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),16,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 2:43pm,,,,10/2/15,10/2/15,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),16,Middle: Many leaves have turned color,Late:  Most or all leaves have fallen (over 90%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,
,10/02/2015 - 8:36am,,,2,10/2/15,10/2/15,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,Jimmy Jr. 2
,10/02/2015 - 8:40am,,,3,10/2/15,10/2/15,,Fall,Sugar Maple,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),11,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 8:40am,,,3,10/2/15,10/2/15,,Fall,Sugar Maple,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),11,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 8:37am,,,4,10/2/15,10/2/15,,Fall,Sugar Maple,44.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,limbs and branches missing,
,10/02/2015 - 8:37am,,,11,10/2/15,10/2/15,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,missing branches,some moss
,10/02/2015 - 8:37am,,,12,10/2/15,10/2/15,,Fall,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,some moss
,10/02/2015 - 10:58am,,,14,10/2/15,10/2/15,,Fall,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Broken limbs,nothing
,10/02/2015 - 10:57am,,,15,10/2/15,10/2/15,,Fall,Sugar Maple,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 10:55am,,,16,10/2/15,10/2/15,,Fall,Sugar Maple,44.61,-76.17,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
,10/02/2015 - 10:55am,,,17,10/2/15,10/2/15,,Fall,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 10:54am,,,22,10/2/15,10/2/15,,Fall,Sugar Maple,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,branches are missing,
,10/02/2015 - 11:32am,,,25,10/2/15,10/2/15,,Fall,Sugar Maple,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 11:32am,,,27,10/2/15,10/2/15,,Fall,Sugar Maple,44.610527,-75.169689,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
,10/02/2015 - 11:32am,,,28,10/2/15,10/2/15,,Fall,Sugar Maple,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 11:33am,,,29,10/2/15,10/2/15,,Fall,Sugar Maple,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"moss on trunk ,holy leave",none
,10/02/2015 - 11:31am,,,30,10/2/15,10/2/15,,Fall,Sugar Maple,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Early:  Only a few ripe fruits are visible (less than 10%),,,,,
,10/02/2015 - 11:31am,,,31,10/2/15,10/2/15,,Fall,Sugar Maple,44.36412,-74.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 11:32am,,,32,10/2/15,10/2/15,,Fall,Sugar Maple,44.61078,-75.116951,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Dead tree less than 12 inches away. Similar size.,
,10/02/2015 - 11:32am,,,34,10/2/15,10/2/15,,Fall,Sugar Maple,44.611451,-76.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/02/2015 - 12:48pm,,,37,10/2/15,10/2/15,,Fall,Sugar Maple,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Broken branches,
,10/02/2015 - 12:48pm,,,38,10/2/15,10/2/15,,Fall,Sugar Maple,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
,10/02/2015 - 12:47pm,,,41,10/2/15,10/2/15,,Fall,Sugar Maple,44.608917,-75.71201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
