"","Serial","Time","Username","Observer","Tree ID","Date","Date_1","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","Flowering","Damage","Comments","UniqueID"
"630",630,"09/30/2015 - 1:09pm",NA,NA,66,2015-09-30,"9/30/15",273,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",0,NA,NA,NA,"66_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_0"
"631",631,"10/02/2015 - 12:50pm",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611434,-75.169532,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",39,NA,NA,NA,"NA_Sugar Maple_44.611434_-75.169532_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_39"
"632",632,"10/02/2015 - 10:57am",NA,NA,21,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.610277,-75.169802,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",48,NA,NA,NA,"21_Sugar Maple_44.610277_-75.169802_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_48"
"633",633,"10/02/2015 - 2:33pm",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.372685,-75.242565,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",7,NA,"slightly eaten leaves",NA,"NA_Sugar Maple_44.372685_-75.242565_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_7"
"634",634,"10/02/2015 - 2:15pm",NA,NA,45,2015-10-02,"10/2/15",275,"Fall","Silver Maple",44.605323,-75.167859,"Yes","School lawn","Open (more than 5hr per day of direct sun)",80,NA,"black splotches",NA,"45_Silver Maple_44.605323_-75.167859_Yes_School lawn_Open (more than 5hr per day of direct sun)_80"
"635",635,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"636",636,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"637",637,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"638",638,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","vey big","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"639",639,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"640",640,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"641",641,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"642",642,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","None","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"643",643,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"644",644,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"645",645,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"646",646,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"647",647,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"648",648,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"649",649,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","still smooth and young","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"650",650,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","Jimmy Jr 2","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"651",651,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"652",652,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","hello","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"653",653,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"654",654,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"655",655,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"656",656,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"657",657,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"658",658,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"659",659,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"660",660,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"661",661,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","This tree is very old and huge.","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"662",662,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"663",663,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"664",664,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves","One of the last trees in the area to begin to turn","46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"665",665,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"666",666,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"667",667,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"668",668,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"669",669,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"670",670,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"671",671,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"672",672,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"673",673,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"674",674,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"675",675,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"676",676,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"677",677,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"678",678,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"679",679,"10/02/2015 - 2:15pm",NA,NA,46,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",119,NA,"Fungus on leaves",NA,"46_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_119"
"680",680,"10/02/2015 - 2:17pm",NA,NA,47,2015-10-02,"10/2/15",275,"Fall","Silver Maple",44.606295,-75.167596,"Yes","School lawn","Open (more than 5hr per day of direct sun)",4,NA,NA,NA,"47_Silver Maple_44.606295_-75.167596_Yes_School lawn_Open (more than 5hr per day of direct sun)_4"
"681",681,"10/02/2015 - 2:14pm",NA,NA,49,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.606267,-75.167331,"Yes","School lawn","Open (more than 5hr per day of direct sun)",70,NA,"black fungi on leaves",NA,"49_Norway Maple_44.606267_-75.167331_Yes_School lawn_Open (more than 5hr per day of direct sun)_70"
"682",682,"10/02/2015 - 2:15pm",NA,NA,51,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.605511,-75.167999,"Yes","School lawn","Open (more than 5hr per day of direct sun)",71,NA,"fungus and broken branches and black spots",NA,"51_Sugar Maple_44.605511_-75.167999_Yes_School lawn_Open (more than 5hr per day of direct sun)_71"
"683",683,"10/02/2015 - 2:15pm",NA,NA,52,2015-10-02,"10/2/15",275,"Fall","Norway Maple",44.605492,-75.167624,"Yes","School lawn","Open (more than 5hr per day of direct sun)",75,NA,"Fungus on leaves",NA,"52_Norway Maple_44.605492_-75.167624_Yes_School lawn_Open (more than 5hr per day of direct sun)_75"
"684",684,"10/02/2015 - 2:15pm",NA,NA,55,2015-10-02,"10/2/15",275,"Fall","Red Maple",44.605696,-75.167442,"Yes","School lawn","Open (more than 5hr per day of direct sun)",104,NA,NA,NA,"55_Red Maple_44.605696_-75.167442_Yes_School lawn_Open (more than 5hr per day of direct sun)_104"
"685",685,"10/02/2015 - 2:18pm",NA,NA,56,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.60493,-75.168005,"Yes","School lawn","Open (more than 5hr per day of direct sun)",93,NA,"fungi on the leaves",NA,"56_Sugar Maple_44.60493_-75.168005_Yes_School lawn_Open (more than 5hr per day of direct sun)_93"
"686",686,"10/02/2015 - 11:03am",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Silver Maple",44.371829,-75.243672,"Yes","School lawn","Open (more than 5hr per day of direct sun)",17,NA,"healthy, scratched",NA,"NA_Silver Maple_44.371829_-75.243672_Yes_School lawn_Open (more than 5hr per day of direct sun)_17"
"687",687,"10/02/2015 - 1:03pm",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Silver Maple",44.371619,-75.243402,"Yes","School paved area","Open (more than 5hr per day of direct sun)",16,NA,"Damaged trunk",NA,"NA_Silver Maple_44.371619_-75.243402_Yes_School paved area_Open (more than 5hr per day of direct sun)_16"
"688",688,"10/02/2015 - 2:35pm",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Silver Maple",NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",16,NA,NA,NA,"NA_Silver Maple_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_16"
"689",689,"10/02/2015 - 2:43pm",NA,NA,NA,2015-10-02,"10/2/15",275,"Fall","Silver Maple",NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",16,NA,NA,NA,"NA_Silver Maple_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_16"
"690",690,"10/02/2015 - 8:36am",NA,NA,2,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61138,-75.169582,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",27,NA,NA,"Jimmy Jr. 2","2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27"
"691",691,"10/02/2015 - 8:40am",NA,NA,3,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611399,-75.169526,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",11,NA,NA,NA,"3_Sugar Maple_44.611399_-75.169526_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_11"
"692",692,"10/02/2015 - 8:40am",NA,NA,3,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611399,-75.169526,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",11,NA,NA,NA,"3_Sugar Maple_44.611399_-75.169526_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_11"
"693",693,"10/02/2015 - 8:37am",NA,NA,4,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61138,-75.169582,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",46,NA,"limbs and branches missing",NA,"4_Sugar Maple_44.61138_-75.169582_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_46"
"694",694,"10/02/2015 - 8:37am",NA,NA,11,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61138,-75.169582,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",34,NA,"missing branches","some moss","11_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34"
"695",695,"10/02/2015 - 8:37am",NA,NA,12,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.344,-75.157,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",24,NA,NA,"some moss","12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24"
"696",696,"10/02/2015 - 10:58am",NA,NA,14,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611452,-75.169535,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",54,NA,"Broken limbs","nothing","14_Sugar Maple_44.611452_-75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_54"
"697",697,"10/02/2015 - 10:57am",NA,NA,15,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611452,-75.169535,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",43,NA,NA,NA,"15_Sugar Maple_44.611452_-75.169535_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43"
"698",698,"10/02/2015 - 10:55am",NA,NA,16,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61,-76.17,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",25,NA,"None",NA,"16_Sugar Maple_44.61_-76.17_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25"
"699",699,"10/02/2015 - 10:55am",NA,NA,17,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611465,-75.169554,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",35,NA,NA,NA,"17_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_35"
"700",700,"10/02/2015 - 10:54am",NA,NA,22,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611465,-75.169554,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",21,NA,"branches are missing",NA,"22_Sugar Maple_44.611465_-75.169554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21"
"701",701,"10/02/2015 - 11:32am",NA,NA,25,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611455,-75.169544,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",9,NA,NA,NA,"25_Sugar Maple_44.611455_-75.169544_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_9"
"702",702,"10/02/2015 - 11:32am",NA,NA,27,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.610527,-75.169689,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",31,NA,"none",NA,"27_Sugar Maple_44.610527_-75.169689_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_31"
"703",703,"10/02/2015 - 11:32am",NA,NA,28,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611443,-75.16954,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",25,NA,NA,NA,"28_Sugar Maple_44.611443_-75.16954_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25"
"704",704,"10/02/2015 - 11:33am",NA,NA,29,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611203,-75.169027,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",12,NA,"moss on trunk ,holy leave","none","29_Sugar Maple_44.611203_-75.169027_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_12"
"705",705,"10/02/2015 - 11:31am",NA,NA,30,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61029,-75.170224,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",22,NA,NA,NA,"30_Sugar Maple_44.61029_-75.170224_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_22"
"706",706,"10/02/2015 - 11:31am",NA,NA,31,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.36412,-74.10104,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",45,NA,NA,NA,"31_Sugar Maple_44.36412_-74.10104_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_45"
"707",707,"10/02/2015 - 11:32am",NA,NA,32,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.61078,-75.116951,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",43,NA,"Dead tree less than 12 inches away. Similar size.",NA,"32_Sugar Maple_44.61078_-75.116951_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43"
