Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
1004,09/14/2016 - 11:11am,,,69,9/14/16,9/14/16,,Fall,Red Maple,44.56,-74.95,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),16,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,"Limned, broken branches, some dead leaves",
1005,09/14/2016 - 11:11am,,,70,9/14/16,9/14/16,,Fall,Red Maple,44.56,-74.95,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),21,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,"Yes, Holes , Missing Branches ",
1006,09/14/2016 - 11:10am,,,67,9/14/16,9/14/16,,Fall,Silver Maple,44.56,-74.95,Yes,School paved area,Partially Shaded (2-5hr per day of direct sun),35,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Branches have been cut off,this tree has old leaves and most fallen.
1007,09/14/2016 - 11:10am,,,62,9/14/16,9/14/16,,Fall,Silver Maple,44.56,-74.95,Yes,School lawn,Open (more than 5hr per day of direct sun),45,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
1008,09/14/2016 - 11:10am,,,68,9/14/16,9/14/16,,Fall,Red Maple,44.56,-74.95,Yes,School lawn,Open (more than 5hr per day of direct sun),16,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,branches cut off,
1009,11/22/2016 - 1:29pm,,,268,11/22/16,11/22/16,,Fall,Norway Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),14,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Middle:  Many fruits are ripe,,,,"none that are known of

",
1010,09/14/2016 - 11:10am,,,65,9/14/16,9/14/16,,Fall,Silver Maple,44.56,-74.95,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),36,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,holes in leaf's,
1011,02/01/2017 - 1:09pm,,,244,2/1/17,2/1/17,,Fall,Sugar Maple,44.360816,-75.201275,No,School lawn,Partially Shaded (2-5hr per day of direct sun),48,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,maple leaf eaters,
1012,02/01/2017 - 1:11pm,,,244,2/1/17,2/1/17,,Fall,Sugar Maple,44.360815,-75.201275,No,School lawn,Partially Shaded (2-5hr per day of direct sun),48,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,maple leaf eaters,Moss at the bottom
1013,02/01/2017 - 1:04pm,,,444,2/1/17,2/1/17,,Fall,Sugar Maple,44.360815,-75.201275,No,School lawn,Partially Shaded (2-5hr per day of direct sun),48,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
1014,09/21/2016 - 8:41am,,,2,9/21/16,9/21/16,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),28,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
1015,09/21/2016 - 8:44am,,,5,9/21/16,9/21/16,,Fall,Sugar Maple,44.610242,-75.171189,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),35,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,n/a,
1016,09/21/2016 - 8:43am,,,11,9/21/16,9/21/16,,Fall,Sugar Maple,44.611449,-75.169152,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),35,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,None,
1017,09/21/2016 - 2:28pm,,,42,9/21/16,9/21/16,,Fall,Sugar Maple,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),44,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
1018,01/19/2017 - 1:43pm,,,254,1/19/17,1/19/17,,Fall,Sugar Maple,44.3614,-75.2069,Yes,School lawn,Open (more than 5hr per day of direct sun),55,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
1019,09/21/2016 - 8:40am,,,1,9/21/16,9/21/16,,Fall,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1020,09/21/2016 - 8:42am,,,3,9/21/16,9/21/16,,Fall,Sugar Maple,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),36,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Healthy Tree,
1021,09/21/2016 - 8:41am,,,8,9/21/16,9/21/16,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,None,there is one bare branch and there are many holes in the leaves
1022,09/21/2016 - 2:28pm,,,10,9/21/16,9/21/16,,Fall,Sugar Maple,44.606267,-75.167331,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"Holes in the leaves, most likely from insects.",
1023,09/21/2016 - 8:41am,,,10,9/21/16,9/21/16,,Fall,Sugar Maple,44.610246,-75.16979,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,None that are visible at the time.,
1024,09/21/2016 - 8:44am,,,17,9/21/16,9/21/16,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,nope,
1025,09/21/2016 - 10:59am,,,22,9/21/16,9/21/16,,Fall,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Middle: Many leaves have turned color,Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1026,09/21/2016 - 10:56am,,,24,9/21/16,9/21/16,,Fall,Sugar Maple,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Missing bark,
1027,09/21/2016 - 11:00am,,,25,9/21/16,9/21/16,,Fall,Silver Maple,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,None,
1028,09/21/2016 - 10:56am,,,27,9/21/16,9/21/16,,Fall,Sugar Maple,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,None,
1029,09/21/2016 - 11:00am,,,37,9/21/16,9/21/16,,Fall,Sugar Maple,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Dead branches,
1030,09/21/2016 - 2:28pm,,,40,9/21/16,9/21/16,,Fall,Sugar Maple,44.610247,-75.169787,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Fungi growing on tree that is leaning on ours.,
1031,09/21/2016 - 2:31pm,,,41,9/21/16,9/21/16,,Fall,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
1032,09/21/2016 - 2:27pm,,,43,9/21/16,9/21/16,,Fall,Sugar Maple,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1033,09/21/2016 - 2:26pm,,,44,9/21/16,9/21/16,,Fall,Sugar Maple,44.611459,-75.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1034,09/21/2016 - 2:28pm,,,45,9/21/16,9/21/16,,Fall,Sugar Maple,44.605323,-75.167859,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,None ,
1035,09/21/2016 - 2:26pm,,,46,9/21/16,9/21/16,,Fall,Sugar Maple,44.605492,-75.167624,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1036,09/21/2016 - 2:28pm,,,47,9/21/16,9/21/16,,Fall,Sugar Maple,44.606298,-75.1675,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"Moss,  Leaf Damage",
1037,01/19/2017 - 1:42pm,,,252,1/19/17,1/19/17,,Fall,Sugar Maple,44.36269,-75.203391,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),16,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,Early:  Only a few ripe fruits are visible (less than 10%),,,,none,
1038,01/19/2017 - 1:43pm,,,253,1/19/17,1/19/17,,Fall,Sugar Maple,44.363453,-75.203058,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),4,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Rotted,
1039,09/21/2016 - 8:42am,,,7,9/21/16,9/21/16,,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),9,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,none,
1040,01/19/2017 - 1:44pm,,,251,1/19/17,1/19/17,,Fall,Sugar Maple,44.362694,-75.203534,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),19,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,leaves are damaged with brown coloring ,
1041,09/21/2016 - 8:43am,,,6,9/21/16,9/21/16,,Fall,Sugar Maple,44.61138,-75.169582,No,School lawn,Shaded (less than 2hr per day of direct sun),31,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
1042,01/19/2017 - 1:52pm,,,255,1/19/17,1/19/17,,Fall,Sugar Maple,44.362627,-75.203523,Yes,School paved area,Shaded (less than 2hr per day of direct sun),14,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,The leaves where brown coloration.,
1043,02/01/2017 - 1:02pm,,,245,2/1/17,2/1/17,,Fall,Sugar Maple,44.360568,-75.201484,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),16,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,We named him Edward
1044,02/01/2017 - 2:40pm,,,249,2/1/17,2/1/17,,Fall,Sugar Maple,44.361288,-75.202854,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),8,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,no,
1045,02/01/2017 - 1:10pm,,,241,2/1/17,2/1/17,,Fall,Sugar Maple,44.361365,-75.200554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1046,02/01/2017 - 1:02pm,,,242,2/1/17,2/1/17,,Fall,Sugar Maple,44.3,-75.2,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,No diesease,
1047,02/01/2017 - 1:02pm,,,243,2/1/17,2/1/17,,Fall,Sugar Maple,44.361642,-75.200735,No,School lawn,Partially Shaded (2-5hr per day of direct sun),11,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,No,
1048,02/01/2017 - 2:39pm,,,246,2/1/17,2/1/17,,Fall,Sugar Maple,44.2142,-75.1211,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),4,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,semi dead looking,
1049,02/01/2017 - 2:39pm,,,247,2/1/17,2/1/17,,Fall,Sugar Maple,44.362036,-75.204409,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),16,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,catrpillars,
1050,02/01/2017 - 2:33pm,,,248,2/1/17,2/1/17,,Fall,Sugar Maple,44.361469,-75.203514,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),20,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,cracks in bark,
1051,02/01/2017 - 2:34pm,,,250,2/1/17,2/1/17,,Fall,Sugar Maple,44.361319,-75.202124,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),8,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Heathy,
1052,10/11/2016 - 8:36am,,,78,10/11/16,10/11/16,,Fall,Sugar Maple,44.7,-74.5,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),54,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,maple cutter moth holes in the leaves,
1053,10/11/2016 - 8:33am,,,76,10/11/16,10/11/16,,Fall,Sugar Maple,44.679477,-74.545545,Yes,School lawn,Open (more than 5hr per day of direct sun),22,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Maple Leaf Cutter Moth Damage,
1054,11/01/2016 - 9:14am,,,77,11/1/16,11/1/16,,Fall,Sugar Maple,44.67984,-74.545544,No,School lawn,Open (more than 5hr per day of direct sun),13,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Two frost cracks/ holes in the leaves,
1055,09/23/2014 - 1:16pm,,,,9/23/14,9/23/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1056,09/21/2016 - 9:59am,,,16,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),33,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"twig broken ,moss,and 3 tapholes and slanted",
1057,09/21/2016 - 8:25am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),82,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,2 limbs losest lossing more limbs to the buttom of tree ,
1058,09/20/2016 - 2:11pm,,,63,9/20/16,9/20/16,,Fall,Silver Maple,44.56,-74.95,Yes,School lawn,Open (more than 5hr per day of direct sun),24,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Rotting branch ,
1059,11/04/2016 - 1:23pm,,,265,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),26,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,lichen missing bark,
1060,09/21/2016 - 8:19am,,,6,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,It has bark loss and a few broken limbs high up.,
1061,09/21/2016 - 12:47pm,,,28,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,looks like a tree branch is falling off.,
1062,09/21/2016 - 8:20am,,,,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),39,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,NONE,
1063,09/21/2016 - 8:20am,,,,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1064,09/21/2016 - 9:54am,,,,9/21/16,9/21/16,,Fall,Red Maple,44.82402,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),36,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,are tree had storm damage insect damage.,
1065,09/21/2016 - 9:57am,,,,9/21/16,9/21/16,,Fall,Red Maple,43.824089,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"holes and scratches

",
1066,09/21/2016 - 9:57am,,,,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
1067,09/21/2016 - 10:01am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,bark was scraped,
1068,09/21/2016 - 10:02am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1069,09/21/2016 - 12:38pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),41,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"SMALL HOLES

",
1070,09/21/2016 - 12:39pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),39,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Dead and broken branch,
1071,09/21/2016 - 12:40pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,maple leaf cuter eating leaf a tipe of moth,
1072,09/21/2016 - 12:41pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,look like a branch is falling off.,
1073,09/21/2016 - 12:41pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,broken branches ,
1074,09/21/2016 - 12:41pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,broken branches ,
1075,09/21/2016 - 12:41pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),60,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
1076,09/21/2016 - 12:43pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),60,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
1077,09/21/2016 - 12:43pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),56,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"holes,bark coming off,broken branches, and dead leaves",
1078,09/21/2016 - 8:25am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1079,09/21/2016 - 8:26am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
1080,09/21/2016 - 9:53am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1081,09/21/2016 - 9:57am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Early:  Only a few ripe fruits are visible (less than 10%),,,,It has a little bit of holes in the leaves from bugs.,
1082,09/21/2016 - 12:38pm,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,2 foot scare at the bottom ,None
1083,09/21/2016 - 8:22am,,,1,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),46,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1084,09/21/2016 - 8:20am,,,3,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),49,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,,
